Latitude (decimal degrees):	10.026
Longitude (decimal degrees):	76.329
Elevation (m):	6
Radiation database:	PVGIS-ERA5


Slope: 23 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230103:1430,0.0,0.0,0.0,26.22,2.14,0.0
20230103:1530,0.0,0.0,0.0,25.51,1.31,0.0
20230103:1630,0.0,0.0,0.0,25.43,0.76,0.0
20230103:1730,0.0,0.0,0.0,24.64,0.9,0.0
20230103:1830,0.0,0.0,0.0,23.78,1.17,0.0
20230103:1930,0.0,0.0,0.0,23.11,1.17,0.0
20230103:2030,0.0,0.0,0.0,22.81,1.17,0.0
20230103:2130,0.0,0.0,0.0,22.32,1.31,0.0
20230103:2230,0.0,0.0,0.0,21.79,1.45,0.0
20230103:2330,0.0,0.0,0.0,21.51,1.66,0.0
20230104:0030,0.0,0.0,0.0,21.31,1.79,0.0
20230104:0130,52.68,99.58,3.07,21.15,1.93,0.0
20230104:0230,256.49,336.53,16.41,21.52,1.79,0.0
20230104:0330,456.98,588.53,29.17,24.01,1.66,0.0
20230104:0430,602.72,797.62,40.9,26.3,1.66,0.0
20230104:0530,696.02,957.98,50.6,28.03,1.17,0.0
20230104:0630,724.08,1032.06,56.46,29.42,0.55,0.0
20230104:0730,691.81,980.7,56.4,30.53,0.62,0.0
20230104:0830,688.7,955.7,50.44,31.04,1.52,0.0
20230104:0930,538.79,714.98,40.69,31.1,2.62,0.0
20230104:1030,378.94,494.61,28.94,30.43,3.45,0.0
20230104:1130,226.96,308.48,16.15,29.39,3.72,0.0
20230104:1230,34.12,72.75,2.81,28.21,3.24,0.0
20230104:1330,0.0,0.0,0.0,27.11,2.76,0.0
20230104:1430,0.0,0.0,0.0,26.5,2.28,0.0
20230104:1530,0.0,0.0,0.0,26.13,1.72,0.0
20230104:1630,0.0,0.0,0.0,25.28,1.03,0.0
20230104:1730,0.0,0.0,0.0,25.57,0.69,0.0
20230104:1830,0.0,0.0,0.0,25.58,0.41,0.0
20230104:1930,0.0,0.0,0.0,24.39,0.76,0.0
20230104:2030,0.0,0.0,0.0,23.22,1.1,0.0
20230104:2130,0.0,0.0,0.0,22.43,1.31,0.0
20230104:2230,0.0,0.0,0.0,21.8,1.45,0.0
20230104:2330,0.0,0.0,0.0,21.21,1.45,0.0
20230105:0030,0.0,0.0,0.0,20.82,1.45,0.0
20230105:0130,51.75,98.54,3.0,20.55,1.52,0.0
20230105:0230,254.8,334.47,16.35,21.04,1.45,0.0
20230105:0330,455.34,589.15,29.13,24.13,1.31,0.0
20230105:0430,598.49,796.21,40.88,26.08,1.24,0.0
20230105:0530,681.17,942.06,50.63,27.59,0.76,0.0
20230105:0630,718.96,1035.22,56.54,28.87,0.14,0.0
20230105:0730,729.43,1031.55,56.53,30.01,0.97,0.0
20230105:0830,696.84,955.55,50.59,30.43,2.0,0.0
20230105:0930,596.4,792.08,40.83,30.39,2.9,0.0
20230105:1030,455.16,594.24,29.07,29.99,3.52,0.0
20230105:1130,219.39,297.8,16.28,29.15,4.0,0.0
20230105:1230,43.58,88.54,2.93,27.89,3.52,0.0
20230105:1330,0.0,0.0,0.0,26.86,2.83,0.0
20230105:1430,0.0,0.0,0.0,26.21,2.28,0.0
20230105:1530,0.0,0.0,0.0,25.78,2.0,0.0
20230105:1630,0.0,0.0,0.0,25.44,1.79,0.0
20230105:1730,0.0,0.0,0.0,25.03,1.86,0.0
20230105:1830,0.0,0.0,0.0,24.62,2.0,0.0
20230105:1930,0.0,0.0,0.0,24.29,1.45,0.0
20230105:2030,0.0,0.0,0.0,23.8,1.52,0.0
20230105:2130,0.0,0.0,0.0,23.22,1.59,0.0
20230105:2230,0.0,0.0,0.0,22.76,1.66,0.0
20230105:2330,0.0,0.0,0.0,22.44,1.79,0.0
20230106:0030,0.0,0.0,0.0,22.13,2.0,0.0
20230106:0130,50.62,97.6,2.92,21.97,2.21,0.0
20230106:0230,239.87,316.42,16.29,22.27,2.07,0.0
20230106:0330,449.56,578.65,29.1,24.45,1.86,0.0
20230106:0430,606.85,802.84,40.88,26.72,1.86,0.0
20230106:0530,654.62,887.76,50.66,28.46,1.52,0.0
20230106:0630,717.64,1004.25,56.63,29.78,1.17,0.0
20230106:0730,701.49,1010.39,56.66,31.08,0.34,0.0
20230106:0830,597.78,824.87,50.74,31.73,1.1,0.0
20230106:0930,385.96,509.32,40.98,31.7,2.55,0.0
20230106:1030,233.18,309.48,29.21,30.78,3.45,0.0
20230106:1130,115.25,166.03,16.41,29.95,3.1,0.0
20230106:1230,16.23,41.77,3.05,28.91,2.34,0.0
20230106:1330,0.0,0.0,0.0,28.14,1.93,0.0
20230106:1430,0.0,0.0,0.0,27.59,2.0,0.0
20230106:1530,0.0,0.0,0.0,27.12,1.93,0.0
20230106:1630,0.0,0.0,0.0,26.62,1.66,0.0
20230106:1730,0.0,0.0,0.0,25.81,1.17,0.0
20230106:1830,0.0,0.0,0.0,25.17,1.17,0.0
20230106:1930,0.0,0.0,0.0,24.4,1.31,0.0
20230106:2030,0.0,0.0,0.0,23.85,1.59,0.0
20230106:2130,0.0,0.0,0.0,23.46,1.72,0.0
20230106:2230,0.0,0.0,0.0,23.08,1.66,0.0
20230106:2330,0.0,0.0,0.0,22.77,1.66,0.0
20230107:0030,0.0,0.0,0.0,22.58,1.72,0.0
20230107:0130,46.19,91.14,2.86,22.59,1.93,0.0
20230107:0230,225.62,299.75,16.24,22.93,1.86,0.0
20230107:0330,379.88,488.67,29.07,25.07,1.72,0.0
20230107:0430,553.38,729.4,40.88,26.88,1.59,0.0
20230107:0530,558.47,752.41,50.7,28.49,0.97,0.0
20230107:0630,612.35,850.17,56.73,29.55,0.34,0.0
20230107:0730,651.0,909.26,56.81,30.36,0.69,0.0
20230107:0830,539.51,723.78,50.9,30.76,1.86,0.0
20230107:0930,282.61,370.52,41.13,30.45,2.76,0.0
20230107:1030,269.47,352.91,29.35,29.49,3.24,0.0
20230107:1130,83.82,124.91,16.54,29.1,2.76,0.0
20230107:1230,14.73,37.84,3.17,28.49,2.21,0.0
20230107:1330,0.0,0.0,0.0,27.77,1.79,0.0
20230107:1430,0.0,0.0,0.0,27.13,1.52,0.0
20230107:1530,0.0,0.0,0.0,26.56,1.17,0.0
20230107:1630,0.0,0.0,0.0,26.28,0.62,0.0
20230107:1730,0.0,0.0,0.0,25.92,0.62,0.0
20230107:1830,0.0,0.0,0.0,25.04,0.76,0.0
20230107:1930,0.0,0.0,0.0,24.23,1.03,0.0
20230107:2030,0.0,0.0,0.0,23.85,1.17,0.0
20230107:2130,0.0,0.0,0.0,23.2,1.38,0.0
20230107:2230,0.0,0.0,0.0,22.9,1.59,0.0
20230107:2330,0.0,0.0,0.0,22.88,1.79,0.0
20230108:0030,0.0,0.0,0.0,22.85,1.86,0.0
20230108:0130,47.02,92.93,2.79,22.68,1.93,0.0
20230108:0230,236.58,314.12,16.19,23.0,1.79,0.0
20230108:0330,428.66,555.23,29.04,25.23,1.52,0.0
20230108:0430,574.28,765.33,40.88,27.38,1.31,0.0
20230108:0530,671.16,934.57,50.75,28.94,0.69,0.0
20230108:0630,694.52,1000.85,56.84,30.27,0.14,0.0
20230108:0730,608.96,846.65,56.96,31.15,0.76,0.0
20230108:0830,611.31,825.99,51.06,31.33,2.14,0.0
20230108:0930,472.57,620.58,41.29,31.21,3.03,0.0
20230108:1030,315.19,412.72,29.5,30.68,3.45,0.0
20230108:1130,205.32,281.23,16.67,30.03,3.31,0.0
20230108:1230,42.44,86.02,3.29,29.1,2.83,0.0
20230108:1330,0.0,0.0,0.0,27.92,2.76,0.0
20230108:1430,0.0,0.0,0.0,27.2,2.48,0.0
20230108:1530,0.0,0.0,0.0,26.75,2.21,0.0
20230108:1630,0.0,0.0,0.0,26.44,2.0,0.0
20230108:1730,0.0,0.0,0.0,25.98,1.52,0.0
20230108:1830,0.0,0.0,0.0,25.28,0.97,0.0
20230108:1930,0.0,0.0,0.0,24.5,0.97,0.0
20230108:2030,0.0,0.0,0.0,23.86,1.17,0.0
20230108:2130,0.0,0.0,0.0,23.34,1.38,0.0
20230108:2230,0.0,0.0,0.0,23.0,1.59,0.0
20230108:2330,0.0,0.0,0.0,22.87,1.79,0.0
20230109:0030,0.0,0.0,0.0,22.85,1.93,0.0
20230109:0130,47.29,94.16,2.73,22.69,2.0,0.0
20230109:0230,239.93,318.43,16.14,22.97,1.79,0.0
20230109:0330,408.23,527.64,29.02,25.23,1.45,0.0
20230109:0430,562.29,746.54,40.89,27.09,1.24,0.0
20230109:0530,659.18,916.11,50.8,28.5,0.55,0.0
20230109:0630,710.22,1022.45,56.95,29.75,0.21,0.0
20230109:0730,697.54,987.55,57.11,30.89,0.83,0.0
20230109:0830,638.25,870.41,51.23,31.35,1.93,0.0
20230109:0930,570.34,757.63,41.45,31.14,2.97,0.0
20230109:1030,404.76,529.54,29.64,30.8,3.38,0.0
20230109:1130,236.32,321.09,16.81,30.05,3.52,0.0
20230109:1230,45.89,91.35,3.41,29.03,3.24,0.0
20230109:1330,0.0,0.0,0.0,27.78,2.97,0.0
20230109:1430,0.0,0.0,0.0,27.01,2.62,0.0
20230109:1530,0.0,0.0,0.0,26.64,2.14,0.0
20230109:1630,0.0,0.0,0.0,26.18,1.31,0.0
20230109:1730,0.0,0.0,0.0,25.51,0.69,0.0
20230109:1830,0.0,0.0,0.0,25.74,0.21,0.0
20230109:1930,0.0,0.0,0.0,25.01,0.48,0.0
20230109:2030,0.0,0.0,0.0,24.61,0.69,0.0
20230109:2130,0.0,0.0,0.0,23.51,1.03,0.0
20230109:2230,0.0,0.0,0.0,22.79,1.24,0.0
20230109:2330,0.0,0.0,0.0,22.3,1.45,0.0
20230110:0030,0.0,0.0,0.0,21.98,1.72,0.0
20230110:0130,47.39,93.74,2.67,21.8,1.93,0.0
20230110:0230,242.22,320.24,16.1,22.07,1.72,0.0
20230110:0330,370.43,476.96,29.0,24.49,1.45,0.0
20230110:0430,561.82,745.54,40.9,26.11,1.1,0.0
20230110:0530,670.11,927.3,50.86,27.85,0.69,0.0
20230110:0630,625.95,877.07,57.06,29.43,0.21,0.0
20230110:0730,678.32,959.28,57.27,30.13,0.48,0.0
20230110:0830,676.48,931.07,51.4,30.84,1.72,0.0
20230110:0930,554.22,733.36,41.61,30.91,3.03,0.0
20230110:1030,452.91,590.14,29.79,30.16,3.86,0.0
20230110:1130,251.85,339.42,16.94,29.32,4.0,0.0
20230110:1230,49.82,97.23,3.53,28.16,3.38,0.0
20230110:1330,0.0,0.0,0.0,26.93,2.41,0.0
20230110:1430,0.0,0.0,0.0,26.26,1.72,0.0
20230110:1530,0.0,0.0,0.0,25.63,1.17,0.0
20230110:1630,0.0,0.0,0.0,25.67,0.55,0.0
20230110:1730,0.0,0.0,0.0,25.63,0.14,0.0
20230110:1830,0.0,0.0,0.0,25.12,0.21,0.0
20230110:1930,0.0,0.0,0.0,23.32,0.83,0.0
20230110:2030,0.0,0.0,0.0,22.64,1.17,0.0
20230110:2130,0.0,0.0,0.0,22.07,1.31,0.0
20230110:2230,0.0,0.0,0.0,21.67,1.45,0.0
20230110:2330,0.0,0.0,0.0,21.33,1.38,0.0
20230111:0030,0.0,0.0,0.0,21.11,1.45,0.0
20230111:0130,44.93,89.82,2.61,20.77,1.52,0.0
20230111:0230,204.64,271.72,16.06,20.98,1.38,0.0
20230111:0330,384.51,496.63,28.98,23.94,1.1,0.0
20230111:0430,533.58,705.38,40.92,25.78,0.83,0.0
20230111:0530,601.59,824.64,50.93,27.37,0.28,0.0
20230111:0630,644.12,900.26,57.19,28.71,0.34,0.0
20230111:0730,686.72,943.59,57.44,29.47,1.52,0.0
20230111:0830,701.0,952.51,51.57,29.9,2.41,0.0
20230111:0930,580.6,766.28,41.77,29.95,3.1,0.0
20230111:1030,441.58,574.89,29.94,29.5,3.45,0.0
20230111:1130,242.9,327.36,17.08,28.82,3.52,0.0
20230111:1230,49.97,97.01,3.65,27.83,2.97,0.0
20230111:1330,0.0,0.0,0.0,26.65,2.48,0.0
20230111:1430,0.0,0.0,0.0,25.76,2.28,0.0
20230111:1530,0.0,0.0,0.0,25.32,2.0,0.0
20230111:1630,0.0,0.0,0.0,24.77,1.45,0.0
20230111:1730,0.0,0.0,0.0,23.82,1.1,0.0
20230111:1830,0.0,0.0,0.0,23.22,0.97,0.0
20230111:1930,0.0,0.0,0.0,22.56,1.52,0.0
20230111:2030,0.0,0.0,0.0,21.86,1.66,0.0
20230111:2130,0.0,0.0,0.0,21.51,1.72,0.0
20230111:2230,0.0,0.0,0.0,21.33,1.79,0.0
20230111:2330,0.0,0.0,0.0,21.11,1.86,0.0
20230112:0030,0.0,0.0,0.0,20.78,1.79,0.0
20230112:0130,51.96,101.8,2.55,20.36,1.72,0.0
20230112:0230,255.01,334.93,16.03,20.36,1.45,0.0
20230112:0330,459.51,595.11,28.97,23.33,1.03,0.0
20230112:0430,601.92,804.81,40.94,25.56,0.9,0.0
20230112:0530,696.37,958.84,51.0,27.36,1.03,0.0
20230112:0630,755.55,1046.95,57.32,28.8,1.72,0.0
20230112:0730,751.79,1027.33,57.62,29.65,2.62,0.0
20230112:0830,710.8,956.05,51.75,29.89,3.17,0.0
20230112:0930,606.49,798.45,41.94,29.8,3.59,0.0
20230112:1030,443.18,574.51,30.09,29.28,3.86,0.0
20230112:1130,251.9,338.08,17.21,28.48,3.79,0.0
20230112:1230,48.5,93.88,3.78,27.53,3.38,0.0
20230112:1330,0.0,0.0,0.0,26.51,2.69,0.0
20230112:1430,0.0,0.0,0.0,26.01,1.52,0.0
20230112:1530,0.0,0.0,0.0,25.07,0.9,0.0
20230112:1630,0.0,0.0,0.0,24.03,1.45,0.0
20230112:1730,0.0,0.0,0.0,23.24,1.59,0.0
20230112:1830,0.0,0.0,0.0,22.67,1.66,0.0
20230112:1930,0.0,0.0,0.0,22.37,1.59,0.0
20230112:2030,0.0,0.0,0.0,22.01,1.72,0.0
20230112:2130,0.0,0.0,0.0,21.75,1.72,0.0
20230112:2230,0.0,0.0,0.0,21.33,1.52,0.0
20230112:2330,0.0,0.0,0.0,20.92,1.17,0.0
20230113:0030,0.0,0.0,0.0,20.75,1.1,0.0
20230113:0130,38.81,78.98,2.5,20.42,1.31,0.0
20230113:0230,234.22,308.86,15.99,20.44,1.24,0.0
20230113:0330,438.04,567.34,28.96,23.63,0.97,0.0
20230113:0430,591.07,792.65,40.97,25.64,0.69,0.0
20230113:0530,632.03,875.75,51.08,27.28,0.21,0.0
20230113:0630,707.01,986.76,57.46,28.46,0.97,0.0
20230113:0730,729.14,1014.47,57.8,29.63,1.52,0.0
20230113:0830,693.52,949.61,51.94,30.18,2.0,0.0
20230113:0930,576.35,765.93,42.11,30.32,2.62,0.0
20230113:1030,456.32,596.63,30.24,29.92,3.24,0.0
20230113:1130,258.63,348.05,17.35,29.08,3.52,0.0
20230113:1230,49.13,94.67,3.9,27.89,3.17,0.0
20230113:1330,0.0,0.0,0.0,26.58,2.83,0.0
20230113:1430,0.0,0.0,0.0,25.8,2.55,0.0
20230113:1530,0.0,0.0,0.0,25.38,2.14,0.0
20230113:1630,0.0,0.0,0.0,24.98,1.59,0.0
20230113:1730,0.0,0.0,0.0,24.08,0.97,0.0
20230113:1830,0.0,0.0,0.0,23.51,0.9,0.0
20230113:1930,0.0,0.0,0.0,22.65,1.1,0.0
20230113:2030,0.0,0.0,0.0,21.9,1.17,0.0
20230113:2130,0.0,0.0,0.0,21.48,1.17,0.0
20230113:2230,0.0,0.0,0.0,21.22,1.17,0.0
20230113:2330,0.0,0.0,0.0,20.79,1.38,0.0
20230114:0030,0.0,0.0,0.0,20.54,1.59,0.0
20230114:0130,40.43,83.26,2.46,20.42,1.72,0.0
20230114:0230,234.14,309.1,15.97,20.82,1.59,0.0
20230114:0330,438.11,564.2,28.96,23.39,1.31,0.0
20230114:0430,589.83,782.55,41.0,25.63,1.17,0.0
20230114:0530,674.59,928.26,51.16,27.36,0.83,0.0
20230114:0630,685.14,953.38,57.6,28.76,0.83,0.0
20230114:0730,697.35,987.13,57.99,29.92,0.62,0.0
20230114:0830,680.51,940.84,52.13,30.65,1.52,0.0
20230114:0930,540.24,715.38,42.28,30.77,2.55,0.0
20230114:1030,444.54,580.05,30.4,30.05,3.52,0.0
20230114:1130,238.38,321.47,17.48,29.14,3.86,0.0
20230114:1230,49.44,95.37,4.02,27.95,3.45,0.0
20230114:1330,0.0,0.0,0.0,26.76,2.55,0.0
20230114:1430,0.0,0.0,0.0,26.19,1.45,0.0
20230114:1530,0.0,0.0,0.0,25.84,0.14,0.0
20230114:1630,0.0,0.0,0.0,25.31,0.76,0.0
20230114:1730,0.0,0.0,0.0,23.72,1.24,0.0
20230114:1830,0.0,0.0,0.0,22.86,1.45,0.0
20230114:1930,0.0,0.0,0.0,23.17,1.17,0.0
20230114:2030,0.0,0.0,0.0,22.51,1.45,0.0
20230114:2130,0.0,0.0,0.0,22.29,1.59,0.0
20230114:2230,0.0,0.0,0.0,22.21,1.72,0.0
20230114:2330,0.0,0.0,0.0,22.06,1.79,0.0
20230115:0030,0.0,0.0,0.0,21.93,1.72,0.0
20230115:0130,39.71,83.11,2.41,21.76,1.66,0.0
20230115:0230,215.38,287.5,15.94,21.9,1.24,0.0
20230115:0330,421.23,547.76,28.97,24.39,0.83,0.0
20230115:0430,562.87,754.63,41.04,26.23,0.55,0.0
20230115:0530,629.05,873.46,51.25,27.78,0.21,0.0
20230115:0630,703.29,988.32,57.75,28.95,0.76,0.0
20230115:0730,701.65,977.89,58.18,30.24,1.31,0.0
20230115:0830,681.2,928.59,52.33,30.65,2.28,0.0
20230115:0930,565.33,747.89,42.46,30.54,3.03,0.0
20230115:1030,436.25,568.01,30.55,29.87,3.66,0.0
20230115:1130,249.01,335.11,17.62,29.07,3.66,0.0
20230115:1230,50.99,97.9,4.14,28.05,3.1,0.0
20230115:1330,0.0,0.0,0.0,27.0,2.07,0.0
20230115:1430,0.0,0.0,0.0,26.31,0.62,0.0
20230115:1530,0.0,0.0,0.0,25.87,0.62,0.0
20230115:1630,0.0,0.0,0.0,24.49,1.17,0.0
20230115:1730,0.0,0.0,0.0,23.7,1.38,0.0
20230115:1830,0.0,0.0,0.0,23.19,1.38,0.0
20230115:1930,0.0,0.0,0.0,22.98,1.31,0.0
20230115:2030,0.0,0.0,0.0,22.73,1.17,0.0
20230115:2130,0.0,0.0,0.0,22.42,1.1,0.0
20230115:2230,0.0,0.0,0.0,22.29,0.97,0.0
20230115:2330,0.0,0.0,0.0,22.02,1.03,0.0
20230116:0030,0.0,0.0,0.0,21.73,1.1,0.0
20230116:0130,34.78,75.28,2.37,21.25,1.31,0.0
20230116:0230,205.46,274.91,15.92,21.63,1.1,0.0
20230116:0330,394.24,511.3,28.97,24.67,0.97,0.0
20230116:0430,553.24,737.08,41.08,26.41,0.83,0.0
20230116:0530,603.43,820.14,51.35,27.89,0.83,0.0
20230116:0630,713.36,1000.54,57.91,29.02,0.9,0.0
20230116:0730,717.81,1012.14,58.38,30.64,1.1,0.0
20230116:0830,669.49,918.94,52.52,31.27,1.93,0.0
20230116:0930,584.66,779.43,42.64,31.3,2.83,0.0
20230116:1030,403.54,527.77,30.71,30.79,3.38,0.0
20230116:1130,253.43,341.9,17.75,29.7,3.59,0.0
20230116:1230,50.04,96.17,4.26,28.47,3.31,0.0
20230116:1330,0.0,0.0,0.0,27.22,2.41,0.0
20230116:1430,0.0,0.0,0.0,26.55,1.72,0.0
20230116:1530,0.0,0.0,0.0,25.87,0.9,0.0
20230116:1630,0.0,0.0,0.0,25.77,0.21,0.0
20230116:1730,0.0,0.0,0.0,25.28,0.83,0.0
20230116:1830,0.0,0.0,0.0,24.1,1.24,0.0
20230116:1930,0.0,0.0,0.0,24.12,1.1,0.0
20230116:2030,0.0,0.0,0.0,23.91,1.03,0.0
20230116:2130,0.0,0.0,0.0,23.45,1.1,0.0
20230116:2230,0.0,0.0,0.0,22.93,1.17,0.0
20230116:2330,0.0,0.0,0.0,22.53,1.17,0.0
20230117:0030,0.0,0.0,0.0,22.21,1.24,0.0
20230117:0130,32.76,71.68,2.33,22.16,1.31,0.0
20230117:0230,194.3,261.97,15.91,22.6,1.1,0.0
20230117:0330,376.22,489.3,28.98,25.15,0.9,0.0
20230117:0430,530.59,700.4,41.13,26.83,1.24,0.0
20230117:0530,568.09,761.9,51.45,28.31,1.24,0.0
20230117:0630,682.03,941.62,58.08,29.36,1.24,0.0
20230117:0730,657.35,896.48,58.59,30.24,1.86,0.0
20230117:0830,607.2,812.04,52.73,30.57,2.48,0.0
20230117:0930,540.74,711.38,42.82,30.37,3.03,0.0
20230117:1030,408.61,532.09,30.86,29.93,3.45,0.0
20230117:1130,237.62,320.79,17.89,29.25,3.38,0.0
20230117:1230,47.31,91.46,4.37,28.3,2.9,0.0
20230117:1330,0.0,0.0,0.0,27.28,1.86,0.0
20230117:1430,0.0,0.0,0.0,26.61,1.03,0.0
20230117:1530,0.0,0.0,0.0,26.17,0.62,0.0
20230117:1630,0.0,0.0,0.0,25.35,0.9,0.0
20230117:1730,0.0,0.0,0.0,24.3,1.31,0.0
20230117:1830,0.0,0.0,0.0,23.67,1.45,0.0
20230117:1930,0.0,0.0,0.0,23.44,1.59,0.0
20230117:2030,0.0,0.0,0.0,23.09,1.66,0.0
20230117:2130,0.0,0.0,0.0,22.72,1.59,0.0
20230117:2230,0.0,0.0,0.0,22.43,1.59,0.0
20230117:2330,0.0,0.0,0.0,22.2,1.66,0.0
20230118:0030,0.0,0.0,0.0,21.95,1.72,0.0
20230118:0130,42.68,89.54,2.3,21.74,1.72,0.0
20230118:0230,233.44,310.51,15.89,21.88,1.59,0.0
20230118:0330,431.63,558.36,29.0,24.28,1.31,0.0
20230118:0430,586.53,784.35,41.19,26.43,0.97,0.0
20230118:0530,671.26,941.26,51.55,28.3,0.34,0.0
20230118:0630,695.11,986.66,58.25,29.81,0.48,0.0
20230118:0730,653.24,905.26,58.8,30.8,1.1,0.0
20230118:0830,645.72,878.33,52.93,31.07,2.07,0.0
20230118:0930,539.37,714.04,43.0,31.09,2.83,0.0
20230118:1030,427.46,558.78,31.02,30.57,3.38,0.0
20230118:1130,246.58,333.24,18.03,29.89,3.45,0.0
20230118:1230,51.09,97.89,4.49,28.88,2.9,0.0
20230118:1330,0.0,0.0,0.0,27.57,2.34,0.0
20230118:1430,0.0,0.0,0.0,26.81,2.0,0.0
20230118:1530,0.0,0.0,0.0,26.34,1.66,0.0
20230118:1630,0.0,0.0,0.0,25.61,1.1,0.0
20230118:1730,0.0,0.0,0.0,25.52,0.62,0.0
20230118:1830,0.0,0.0,0.0,25.04,0.69,0.0
20230118:1930,0.0,0.0,0.0,24.0,0.97,0.0
20230118:2030,0.0,0.0,0.0,23.11,1.17,0.0
20230118:2130,0.0,0.0,0.0,22.46,1.31,0.0
20230118:2230,0.0,0.0,0.0,21.79,1.31,0.0
20230118:2330,0.0,0.0,0.0,21.17,1.45,0.0
20230119:0030,0.0,0.0,0.0,20.68,1.66,0.0
20230119:0130,4.84,15.83,2.27,20.35,1.86,0.0
20230119:0230,247.74,326.85,15.88,20.67,1.79,0.0
20230119:0330,454.82,584.93,29.02,23.31,1.59,0.0
20230119:0430,599.21,795.19,41.24,25.67,1.31,0.0
20230119:0530,702.14,970.16,51.66,27.45,0.97,0.0
20230119:0630,746.18,1057.4,58.42,29.17,0.9,0.0
20230119:0730,745.75,1063.77,59.02,30.56,0.97,0.0
20230119:0830,706.01,987.8,53.14,31.37,1.45,0.0
